date,open
9/14/2018,288.76
9/13/2018,288.02
9/12/2018,281.44
9/11/2018,279.47
9/10/2018,273.26
9/7/2018,260.1
9/6/2018,284.8
9/5/2018,285.05
9/4/2018,296.94
8/31/2018,302
8/30/2018,302.26
8/29/2018,310.27
8/28/2018,318.41
8/27/2018,318
8/24/2018,320.7
8/23/2018,319.14
8/22/2018,320.87
8/21/2018,310.61
8/20/2018,291.704
8/17/2018,323.5
8/16/2018,339.91
8/15/2018,341.906
8/14/2018,358.45
8/13/2018,361.13
8/10/2018,354
8/9/2018,365.55
8/8/2018,369.09
8/7/2018,343.84
8/6/2018,345.46
8/3/2018,347.81
8/2/2018,328.44
8/1/2018,297.99
7/31/2018,292.25
7/30/2018,295.9
7/27/2018,307.25
7/26/2018,304.85
7/25/2018,296.74
7/24/2018,304.4209
7/23/2018,301.84
7/20/2018,321.23
7/19/2018,316.33
7/18/2018,325
7/17/2018,308.81
7/16/2018,311.71
7/13/2018,315.58
7/12/2018,321.43
7/11/2018,315.8
7/10/2018,324.56
7/9/2018,311.99
7/6/2018,304.955
7/5/2018,313.76
7/3/2018,331.75
7/2/2018,360.07
6/29/2018,353.33
6/28/2018,348.66
6/27/2018,345
6/26/2018,336.054
6/25/2018,330.12
6/22/2018,351.54
6/21/2018,362
6/20/2018,358.04
6/19/2018,365.16
6/18/2018,355.4
6/15/2018,353.84
6/14/2018,347.63
6/13/2018,346.706
6/12/2018,344.7
6/11/2018,322.51
6/8/2018,319
6/7/2018,316.15
6/6/2018,300.5
6/5/2018,297.7
6/4/2018,294.34
6/1/2018,285.86
5/31/2018,287.21
5/30/2018,283.29
5/29/2018,278.51
5/25/2018,277.625
5/24/2018,278.4
5/23/2018,277.76
5/22/2018,287.762
5/21/2018,281.33
5/18/2018,284.65
5/17/2018,285.9
5/16/2018,283.83
5/15/2018,285.01
5/14/2018,303.32
5/11/2018,307.7
5/10/2018,307.4997
5/9/2018,300.41
5/8/2018,300.795
5/7/2018,297.5
5/4/2018,283
5/3/2018,278.79
5/2/2018,298.57
5/1/2018,293.51
4/30/2018,293.61
4/27/2018,285.37
4/26/2018,278.75
4/25/2018,283.5
4/24/2018,285
4/23/2018,291.29
4/20/2018,295.17
4/19/2018,291.08
4/18/2018,291.08
4/17/2018,288.87
4/16/2018,299
4/13/2018,303.6
4/12/2018,302.32
4/11/2018,300.74
4/10/2018,298.97
4/9/2018,300.37
4/6/2018,301
4/5/2018,289.34
4/4/2018,252.78
4/3/2018,269.82
4/2/2018,256.26
3/29/2018,256.49
3/28/2018,264.58
3/27/2018,304
3/26/2018,307.34
3/23/2018,311.25
3/22/2018,313.89
3/21/2018,310.25
3/20/2018,314.87
3/19/2018,316.5
3/16/2018,325.96
3/15/2018,329.38
3/14/2018,336.76
3/13/2018,344.92
3/12/2018,328.61
3/9/2018,324.1
3/8/2018,332.86
3/7/2018,325.44
3/6/2018,333.75
3/5/2018,332.39
3/2/2018,326.98
3/1/2018,345.01
2/28/2018,352.57
2/27/2018,356.25
2/26/2018,353.5
2/23/2018,347.83
2/22/2018,335.53
2/21/2018,336.03
2/20/2018,334.47
2/16/2018,332.5
2/15/2018,324.5
2/14/2018,320.84
2/13/2018,315.02
2/12/2018,316.13
2/9/2018,319.93
2/8/2018,343.31
2/7/2018,338.99
2/6/2018,325.21
2/5/2018,337.97
2/2/2018,348.44
2/1/2018,351
1/31/2018,347.51
1/30/2018,345.14
1/29/2018,339.85
1/26/2018,341.5
1/25/2018,348.27
1/24/2018,354.58
1/23/2018,360
1/22/2018,349.4
1/19/2018,345
1/18/2018,345.67
1/17/2018,340.47
1/16/2018,337.54
1/12/2018,338.63
1/11/2018,335.24
1/10/2018,332.2
1/9/2018,335.16
1/8/2018,316
1/5/2018,316.62
1/4/2018,312.87
1/3/2018,321
1/2/2018,312
12/29/2017,316.18
12/28/2017,311.75
12/27/2017,316
12/26/2017,323.83
12/22/2017,329.51
12/21/2017,329.59
12/20/2017,332.69
12/19/2017,340.26
12/18/2017,344.9
12/15/2017,342.04
12/14/2017,341.01
12/13/2017,340.93
12/12/2017,330.45
12/11/2017,314.63
12/8/2017,314.6
12/7/2017,312
12/6/2017,300.1
12/5/2017,302
12/4/2017,306.5
12/1/2017,305.44
11/30/2017,308.56
11/29/2017,317.3
11/28/2017,316.36
11/27/2017,313.25
11/24/2017,313.79
11/22/2017,316.77
11/21/2017,310.86
